Time(ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp_C
522764,5.98,-7.80,0.95,-0.13,0.05,-0.02,37.52
523290,6.82,-6.48,-0.03,-1.43,1.40,-0.52,37.61
523822,-2.25,-14.60,-3.25,-0.94,4.37,-2.57,37.52
524349,-2.76,-12.51,5.59,1.07,-1.73,0.49,37.52
524880,5.04,-9.46,2.86,0.27,-0.74,0.13,37.47
525409,4.73,-6.81,2.38,-0.28,-0.19,0.47,37.47
525938,-6.23,-7.79,-3.53,-0.06,-2.92,-0.10,37.52
526468,-7.26,-9.20,2.52,-0.23,0.35,0.60,37.52
526996,-0.72,-6.06,2.77,-0.27,0.60,-1.03,37.61
527527,4.33,-8.76,1.41,0.08,-0.29,-0.25,37.61
528054,4.62,-9.56,1.32,-0.10,-0.12,-0.11,37.57
528586,4.68,-7.86,0.79,-0.13,0.01,-0.21,37.57
529111,5.84,-9.97,0.51,0.69,-0.60,0.08,37.57
529643,3.70,-8.31,-1.70,-0.16,0.60,-0.11,37.66
530167,3.71,-9.51,0.08,-0.51,0.78,-0.50,37.52
530699,6.11,-7.95,2.39,-0.20,0.07,0.09,37.61
531223,4.29,-6.58,1.92,0.41,0.54,0.04,37.61
531754,6.11,-7.86,2.40,0.05,-0.28,-0.06,37.61
532280,6.03,-8.27,1.93,-0.12,-0.01,-0.08,37.66
532812,5.65,-7.70,2.00,-0.10,-0.02,-0.01,37.57
533339,5.33,-7.64,1.63,-0.04,0.34,-0.02,37.66
533871,7.11,-7.66,1.93,-0.27,0.03,-0.06,37.75
534399,6.05,-8.11,1.90,-0.05,-0.01,-0.02,37.61
534929,6.71,-8.45,0.89,0.35,-0.79,0.33,37.71
535459,5.45,-8.20,0.82,-0.13,-0.06,-0.03,37.61
535987,5.13,-8.19,0.58,-0.02,0.09,-0.03,37.71
536519,5.64,-8.96,0.56,-0.01,0.06,0.01,37.61
537092,5.18,-8.46,0.80,-0.05,0.08,-0.05,37.75
537668,5.52,-8.09,0.96,-0.08,-0.11,-0.04,37.75
538192,5.69,-8.20,0.78,-0.11,0.05,-0.02,37.66
538723,6.45,-7.97,1.13,-0.12,0.07,-0.04,37.66
539248,5.76,-8.02,0.85,-0.10,0.08,-0.05,37.71
539778,5.62,-8.50,0.61,-0.08,-0.02,-0.05,37.80
540304,6.37,-6.51,1.20,-0.45,1.15,-0.18,37.71
540836,-6.57,-10.47,0.19,0.43,4.37,-1.07,37.71
541363,-7.05,-0.35,-5.73,1.42,-4.37,-0.50,37.71
541895,6.73,-8.46,1.26,0.70,-2.40,0.88,37.75
542425,6.97,-6.17,0.89,-0.07,-0.46,-0.44,37.75
542954,6.39,-7.35,2.69,0.05,-0.08,0.17,37.75
